0.118,4,98
0.14,4,93
0.283,3,126
0.303,3,107
0.586,10,50
0.604,8,80
0.607,7,55
0.941,6,118
1.257,6,87
1.586,6,102
1.592,1,65
1.616,1,56
1.69,1,54
1.91,6,89
2.136,6,5
2.215,10,50
2.239,6,97
2.539,10,41
2.564,6,98
2.89,6,93
3.214,6,84
3.231,6,86
3.443,6,7
3.542,6,96
3.546,1,69
3.569,1,63
3.602,1,36
3.653,1,35
3.864,6,89
4.092,6,5
4.192,6,84
4.497,10,50
4.517,8,91
4.853,6,114
5.168,6,83
5.393,6,5
5.498,6,95
5.501,1,68
5.524,1,63
5.617,1,28
5.821,6,87
6.048,6,5
6.127,10,50
6.148,6,86
6.454,10,41
6.475,8,110
6.814,4,127
6.845,4,127
6.968,4,127
6.992,4,111
7.13,4,127
7.186,4,53
7.457,4,91
7.477,4,81
7.77,3,75
7.79,3,82
8.108,2,116
8.411,10,50
8.435,7,46
8.438,8,127
8.763,6,106
9.084,6,98
9.337,6,4
9.412,8,127
9.418,1,62
9.443,1,62
9.516,1,52
9.745,6,113
10.042,10,50
10.062,6,104
10.187,6,19
10.288,6,7
10.366,10,41
10.389,6,98
10.716,6,96
10.944,6,7
11.04,6,84
11.366,8,127
11.372,1,69
11.395,1,59
11.429,1,34
11.48,1,33
11.701,6,120
12.018,6,83
12.271,6,5
12.323,10,50
12.343,8,94
12.679,6,120
12.936,6,4
12.995,6,80
13.221,6,5
13.324,6,95
13.328,1,69
13.352,1,64
13.444,1,20
13.647,6,88
13.873,6,5
13.954,10,50
13.977,6,97
14.28,10,41
14.305,6,94
14.63,6,93
14.954,6,84
15.287,1,78
15.313,1,60
15.602,4,117
15.622,4,127
15.771,4,100
15.793,4,93
15.934,3,127
15.955,3,107
16.238,10,50
16.257,8,80
16.259,7,54
16.593,6,118
16.909,6,88
17.164,6,5
17.238,8,127
17.244,1,63
17.269,1,54
17.57,6,108
17.868,10,50
17.887,6,90
18.192,10,42
18.217,7,68
18.521,6,53
18.865,6,86
19.118,6,5
19.194,8,127
19.2,1,63
19.224,1,49
19.527,6,110
19.782,6,4
19.844,6,87
20.027,6,7
20.07,6,5
20.15,10,51
20.173,7,69
20.474,10,41
20.488,8,69
20.801,10,43
20.818,7,47
20.963,7,7
21.126,10,42
21.14,8,64
22.108,10,50
22.124,8,78
22.134,7,55
22.461,6,124
22.78,6,88
23.111,11,127
23.116,1,127
23.145,1,119
23.44,4,127
23.466,4,123
23.759,3,127
23.77,3,127
24.064,10,49
24.09,8,127
24.093,7,102
24.389,10,41
24.416,8,127
24.422,7,75
24.714,10,40
24.74,8,127
24.748,7,86
25.04,10,40
25.066,8,127
25.073,7,80
25.103,10,9
26.01,1,7
27.021,1,81
27.044,1,90
27.353,4,126
27.378,4,113
27.51,4,102
27.531,4,109
27.673,3,127
27.693,3,127
27.976,10,50
28,4,107
28.022,4,102
28.318,4,103
28.338,4,112
28.491,4,106
28.512,4,102
28.651,3,124
28.673,3,127
28.978,4,101
28.998,4,103
29.298,3,83
29.316,3,85
29.333,3,73
29.634,2,113
29.958,11,127
29.966,1,124
30.586,10,50
30.597,8,71
30.907,10,34
30.934,7,81
30.973,10,10
31.871,2,9
31.894,2,13
32.185,3,15
32.21,3,16
40.547,2,10
40.569,2,13
40.642,3,15
40.666,3,12
42.629,2,10
42.653,2,10
42.723,3,14
43.704,3,12
44.711,2,11
44.803,3,15
44.83,3,12
45.786,3,12
45.812,3,13
46.793,2,10
46.833,2,9
46.883,3,14
46.911,3,18
48.877,2,9
48.966,3,15
48.994,3,18
49.947,3,12
50.958,2,10
50.983,2,10
51.047,3,15
52.027,3,12
53.039,2,10
53.128,3,15
53.155,3,13
55.121,2,10
55.145,2,13
55.209,3,15
55.235,3,12
56.191,3,12
57.203,2,9
57.225,2,12
57.291,3,15
57.317,3,16
58.273,3,12
59.284,2,9
59.307,2,10
59.37,3,15
59.398,3,19
60.381,3,13
61.367,2,10
61.39,2,10
61.452,3,15
61.48,3,21
62.462,3,13
63.451,2,9
63.472,2,11
63.536,3,14
65.53,2,9
65.554,2,12
65.615,3,12
65.639,3,12
65.655,3,14
66.625,3,12
67.613,2,8
67.636,2,10
67.649,2,11
67.696,3,16
67.724,3,20
69.692,2,8
69.715,2,11
69.777,3,16
69.804,3,19
70.786,3,13
71.775,2,10
71.798,2,10
71.857,3,15
71.884,3,18
72.086,2,5
72.329,2,121
72.356,2,105
72.58,3,82
72.618,3,62
72.659,3,33
72.691,3,32
73.073,10,48
73.084,8,70
73.619,5,86
73.639,5,74
74.135,5,70
74.142,1,65
74.153,5,72
74.165,1,64
74.634,10,46
74.654,5,64
74.672,5,65
75.155,10,43
75.177,5,74
75.195,5,72
75.219,10,9
75.695,5,67
75.713,5,71
76.218,5,70
76.222,1,70
76.236,5,76
76.245,1,70
76.737,5,65
76.754,5,70
77.235,10,46
77.258,5,72
77.276,5,74
77.777,5,64
77.796,5,70
78.301,5,72
78.303,1,71
78.319,5,73
78.327,1,70
78.818,11,66
78.837,11,69
79.317,10,46
79.341,5,73
79.359,5,75
79.859,5,65
79.876,5,69
80.38,5,71
80.383,1,71
80.399,5,70
80.407,1,67
80.899,5,66
80.917,5,69
81.399,10,46
81.417,7,37
81.945,5,81
81.964,5,73
82.463,5,72
82.466,1,71
82.481,5,71
82.489,1,68
82.958,10,46
82.982,5,65
82.999,5,70
83.479,10,42
83.502,5,72
83.521,5,72
83.544,10,9
84.021,5,66
84.039,5,70
84.543,5,70
84.544,1,71
84.561,5,70
84.569,1,67
85.062,11,65
85.08,11,69
85.561,10,47
85.579,7,37
86.048,5,83
86.502,11,76
86.505,1,75
86.52,11,75
86.529,1,77
86.96,5,69
86.978,5,72
87.419,11,76
87.42,1,75
87.436,11,73
87.444,1,76
87.876,5,68
87.894,5,73
88.336,11,77
88.339,1,76
88.355,11,74
88.362,1,77
88.463,1,8
88.794,5,71
88.812,5,72
89.253,4,107
89.272,4,103
89.366,4,66
89.403,4,43
89.458,4,41
89.478,1,92
89.503,1,95
89.581,1,51
89.673,1,38
89.751,1,10
89.777,1,15
89.852,1,15
89.886,1,15
89.919,4,127
89.952,4,127
90.015,4,43
90.032,4,43
90.112,4,40
90.363,4,127
90.399,4,127
90.476,4,39
90.558,4,48
90.581,2,127
90.621,2,105
90.759,4,21
91.022,8,127
91.035,10,48
91.464,1,127
91.466,5,127
91.5,1,100
91.5,5,89
91.563,1,73
91.609,1,39
91.644,1,54
91.668,1,40
91.688,5,124
91.694,10,48
91.75,1,24
91.792,1,13
91.908,5,127
92.13,5,126
92.348,1,127
92.35,5,127
92.386,1,105
92.441,1,67
92.484,1,36
92.526,1,43
92.551,1,43
92.571,5,123
92.581,1,28
92.636,1,26
92.708,1,10
92.79,5,127
92.796,10,49
93.01,5,127
93.23,1,127
93.231,5,127
93.269,1,94
93.322,1,59
93.409,1,40
93.433,1,37
93.454,5,117
93.458,10,50
93.469,1,23
93.523,1,31
93.546,1,27
93.601,1,26
93.672,5,127
93.892,5,127
94.112,1,127
94.114,5,127
94.204,1,65
94.242,1,42
94.29,1,45
94.317,1,43
94.334,11,127
94.401,1,20
94.42,1,28
94.482,0,16
94.554,5,127
94.56,10,49
94.775,5,127
94.783,1,10
94.992,1,127
94.994,5,127
95.085,1,61
95.124,1,38
95.17,1,43
95.194,1,40
95.216,5,127
95.222,10,49
95.225,1,30
95.278,1,14
95.298,1,14
95.358,1,6
95.436,5,127
95.447,10,50
95.562,1,7
95.657,5,127
95.874,1,127
95.877,5,127
95.967,1,60
96.005,1,40
96.053,1,42
96.077,1,40
96.097,5,127
96.163,1,30
96.183,1,27
96.266,1,7
96.318,5,127
96.324,10,49
96.444,1,6
96.539,5,127
96.547,1,13
96.756,1,127
96.759,5,127
96.797,1,93
96.852,1,65
96.89,1,36
96.938,1,43
96.962,1,42
96.979,5,127
96.984,10,49
97.046,1,26
97.071,1,26
97.128,1,19
97.169,1,10
97.2,5,127
97.212,10,49
97.312,1,8
97.42,5,127
97.638,1,121
97.672,1,92
97.738,1,39
97.829,1,33
97.853,1,30
97.858,5,127
97.866,10,49
97.932,1,22
98.019,1,35
98.04,1,35
98.065,1,23
98.08,7,99
98.091,10,49
98.301,5,127
98.52,1,127
98.522,5,127
98.555,1,95
98.621,1,40
98.655,1,33
98.686,1,23
98.705,1,30
98.742,5,116
98.748,10,49
98.886,1,13
98.901,1,20
98.962,5,127
99.096,1,6
99.184,5,110
99.403,1,127
99.406,5,127
99.444,1,95
99.495,1,58
99.533,1,45
99.582,1,46
99.607,1,44
99.625,5,122
99.63,10,49
99.647,1,20
99.693,1,31
99.716,1,24
99.845,5,127
99.857,10,49
100.065,5,127
100.075,1,13
100.284,1,127
100.287,5,127
100.321,1,116
100.376,1,49
100.414,1,39
100.464,1,40
100.488,1,38
100.507,5,127
100.512,10,49
100.569,1,29
100.662,1,29
100.704,1,26
100.726,5,127
100.729,1,20
100.748,1,18
100.759,5,97
100.793,1,8
101.161,1,127
101.191,1,114
101.384,1,95
101.505,1,127
101.602,7,86
101.613,10,49
101.819,1,83
101.827,5,127
101.849,1,75
102.045,7,127
102.046,1,105
102.084,1,75
102.373,1,69
102.491,1,127
102.54,1,115
102.61,0,50
102.69,2,18
102.699,7,57
102.731,0,127
103.145,8,127
103.156,10,49
103.592,5,127
103.595,0,67
103.623,5,81
103.811,1,127
103.813,5,127
103.894,1,49
103.918,1,37
103.982,1,38
104.012,1,24
104.032,5,127
104.07,11,96
104.155,1,127
104.257,4,127
104.294,4,127
104.652,3,44
104.69,2,15
104.711,0,36